episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
359,66,100,66.819304,1,2,66,0.16,84,99.55,8.12,0.21
360,36,100,67.047715,1,1,36,0.2,80,59.16,5.96,0.23
361,82,100,67.366467,1,2,82,0.07,93,88.95,6.15,0.21
362,44,100,67.630066,1,0,44,0.22,78,115.9,7.67,0.3
363,34,100,67.829992,1,2,34,0.21,79,66.42,2.58,0.24
364,56,100,68.068215,1,3,56,0.12,88,37.45,3.82,0.19
365,64,100,68.255333,1,4,64,0.16,84,44.16,5.62,0.22
366,64,100,68.466965,1,2,64,0.18,82,77.13,6.83,0.17
367,18,100,68.667865,-1,3,18,0.21,79,92.36,5.97,0.19
368,60,100,68.874579,1,0,60,0.19,81,86.84,9.38,0.18
369,58,100,69.148709,1,3,58,0.15,85,42.6,5.6,0.19
370,60,100,69.424834,-1,4,60,0.1,90,79.46,7.64,0.26
371,72,100,69.663045,-1,5,72,0.09,91,85.45,10.99,0.26
372,60,100,69.86491,-1,0,60,0.11,89,69.91,7.34,0.22
373,70,100,70.06788,1,3,70,0.15,85,42.28,10.96,0.19
374,62,100,70.272528,1,0,62,0.13,87,78.68,6.45,0.19
375,54,100,70.47387,1,3,54,0.16,84,70.59,5.27,0.19
376,68,100,70.67061,1,4,68,0.13,87,54.13,6.85,0.19
377,64,100,70.867133,1,3,64,0.12,88,32.59,7.87,0.18
378,68,100,71.100759,1,0,68,0.12,88,49.71,5.01,0.18
379,78,100,71.294431,1,1,78,0.11,89,70.69,9.65,0.22
380,66,100,71.498465,1,0,66,0.12,88,38.39,6.56,0.18
381,70,100,71.701013,1,1,70,0.12,88,109.26,11.36,0.19
382,58,100,71.904069,-1,5,58,0.1,90,133.75,4.29,0.19
383,38,100,72.137225,1,1,38,0.15,85,73.81,5.04,0.19
384,58,100,72.380662,1,1,58,0.12,88,67.21,8.33,0.22
385,78,100,72.631112,1,2,78,0.11,89,66.83,9.87,0.23
